domain,country
sepura.com,United Kingdom
sequans.com,France
seri.co.uk,United Kingdom
ses.com,Luxembourg
setcom.de,Germany
seven.com,United States
sfr.fr,France
sgs.com,Switzerland
sharp.co.jp,Japan
sharplabs.com,United States
sheffield.ac.uk,United Kingdom
siaemic.com,Italy
siemens.at,Austria
siemens.com,Germany
sierrawireless.com,Canada
sigfox.com,France
sigfx.com,United States
sintef.no,Norway
sirf.com,United States
sisl.co.in,India
sist.si,Slovenia
sita.aero,Switzerland
site.uottawa.ca,Canada
sjtu.edu.cn,China
sk.com,South Korea
sktelecom.com,South Korea
skyworksinc.com,United States
sms.at,Austria
smtp.gc.ca,Canada
softarmor.com,Unknown
softelsystems.com.au,Australia
softil.com,Israel
sohu.com,China
solomon.prl.philips.co.uk,United Kingdom
sonera.com,Finland
sonera.fi,Finland
sony.com,Japan
sonyericsson.com,Japan
sonymobile.com,Japan
southernco.com,United States
space.noa.gr,Greece
spark.co.nz,New Zealand
spirent.com,United Kingdom
spirentcom.com,United Kingdom
sporton-lab.com,Taiwan
sporton.com.tw,Taiwan
spreadtrum.com,China
sprint.com,United States
sptvjsat.com,Japan
srtc.org.cn,China
ss.ts.fujitsu.co.jp,Japan
ss8.com,United States
st.com,France
standard.md,Moldova
starentnetworks.com,United States
starpointcomm.com,China
statesoft.org,United States
stericsson.com,Unknown
stest.ch,Switzerland
stewe.org,United States
strategictest.co.uk,United Kingdom
strict.nl,Netherlands
student.uu.se,Sweden
students.tafe.tas.edu.au,Australia
sunrisetelecom.com,United States
sutn.gov.sk,Slovakia
swapcom.fr,France
swisscom.com,Switzerland
symantec.com,United States
symbian.com,United Kingdom
sympatico.ca,Canada
synctechno.com,Unknown
synelixis.com,Greece
systemdesign.it,Italy
systemsoft.no,Norway
sz.huawei.com.cn,China
t-email.de,Germany
t-mobil.de,Germany
t-mobile.at,Austria
t-mobile.co.uk,United Kingdom
t-mobile.com,United States
t-mobile.de,Germany
t-mobile.net,United States
t-systems.com,Germany
t3gt.com,China
taralnetworks.com,Unknown
tataelxsi.co.in,India
tcl.com,China
tcs.com,India
td-tech.com,China
tdf.fr,France
tdia.cn,China
tdk.dk,Denmark
te.com,United States
team.neustar,Unknown
team.telstra.com,Australia
techmahindra.com,India
technicolor.com,France
tecnalia.com,Spain
tecono.fi,Finland
tejasnetworks.com,India
tejet.cn,China
tekcomms.com,United States
telcordia.com,United States
telcoware.com,Unknown
tele.pw.edu.pl,Poland
teleca.com,Sweden
teleca.es,Spain
telecanetworks.se,Sweden
telecom-sudparis.eu,European Union
telecom.samsung.co.kr,South Korea
telecom.tno.nl,Netherlands
telecomitalia.it,Italy
telecomsys.com,United States
telefonica.com,Spain
telefonica.es,Spain
telekom.de,Germany
telelogic.com,Sweden
telelogic.de,Germany
telenor.com,Norway
telenor.dk,Denmark
telia.se,Sweden
teliacompany.com,Sweden
teliasonera.com,Sweden
telit.com,Italy
telital.com,United States
telitas.no,Norway
telus.com,Canada
temc2.com,Unknown
tencastle.com,United Kingdom
tencent.com,China
terra-mobile.com,Unknown
terrestar.com,United States
test-aankoop.be,Belgium
testingtech.com,Germany
testingtech.de,Germany
teststep.org,United Kingdom
thales-esecurity.com,France
thales-navigation.fr,France
thalesaleniaspace.com,France
thalesesecurity.com,Unknown
thalesgroup.com,France
thecldst.com,Unknown
thk.fi,Finland
thor.itm.mu-luebeck.de,Germany
three.co.uk,United Kingdom
ti.com,United States
tiaonline.org,United States
tic.siemens.ca,Canada
tid.es,Spain
tieto.com,Finland
tietoenator.com,Finland
tilab.com,Italy
tim.it,Italy
titcgroup.com,China
tmforum.org,United Kingdom
tmn.pt,Portugal
tno.nl,Netherlands
tom.com,China
toronto.sema.slb.com,United States
toyonet.toyo.ac.jp,Japan
traficom.fi,Finland
tragsa.es,Spain
transsion.com,China
tri.sbc.com,United States
trialog.com,France
trideaworks.com,United States
trillium.com,United States
trimail.cingular.com,United States
trium-rd.com,Unknown
trueposition.com,United States
trust-itservices.com,Italy
tsdsi.in,India
tsm.es,Spain
tssg.org,Ireland
tst-sistemas.es,Spain
tt.com.pl,Poland
tta.or.kr,South Korea
ttc.or.jp,Japan
ttja.ee,Estonia
ttp.org,South Korea
ttpcom.com,United States
ttu.edu,United States
tudelft.nl,Netherlands
turkcell.com.tr,Turkey
tw.bureauveritas.com,France
twics.com,Japan
u-blox.com,Switzerland
ualberta.ca,Canada
ubinetics.co.in,India
ubinetics.com,United States
